Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
2875;21100203304;"Journal of Thoracic Disease";journal;"20721439, 20776624";0,651;Q2;88;663;2138;21272;4721;1898;1,91;32,08;33,43;0;404;Hong Kong;Asiatic Region;"Pioneer Bioscience Publishing Company (PBPC)";"2009-2023";"Pulmonary and Respiratory Medicine (Q2)";"Medicine"
2876;21101046403;"OTO Open";journal;"2473974X";0,651;Q1;16;72;236;1916;411;221;1,71;26,61;38,01;0;23;United States;Northern America;"John Wiley and Sons Inc.";"2017-2023";"Otorhinolaryngology (Q1); Surgery (Q2)";"Medicine"
2877;21101113286;"Sexual Abuse";journal;"1573286X, 10790632";0,651;Q2;85;63;122;4370;331;119;2,53;69,37;54,36;0;54;United States;Northern America;"SAGE Publications Inc.";"1988-1993, 1995-2023";"Psychiatry and Mental Health (Q2); Psychology (miscellaneous) (Q2)";"Medicine; Psychology"
2878;13149;"Surgical Oncology";journal;"09607404, 18793320";0,651;Q2;75;85;528;2507;1191;521;2,22;29,49;26,43;0;66;Netherlands;Western Europe;"Elsevier B.V.";"1992-2023";"Surgery (Q2); Oncology (Q3)";"Medicine"
2879;34776;"Wiener Klinische Wochenschrift";journal;"00435325";0,651;Q2;62;197;490;7131;855;351;1,92;36,20;38,58;1;100;Austria;Western Europe;"Springer-Verlag Wien";"1946-2023";"Medicine (miscellaneous) (Q2)";"Medicine"
2880;14944;"Antonie van Leeuwenhoek";journal;"00036072, 15729699";0,650;Q2;121;110;454;5707;1258;452;1,89;51,88;44,52;0;21;Netherlands;Western Europe;"Springer Netherlands";"1934-1939, 1941-1944, 1946-2023";"Medicine (miscellaneous) (Q2); Microbiology (Q3); Molecular Biology (Q3)";"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine"
2881;29311;"Current Cancer Drug Targets";journal;"15680096, 18735576";0,650;Q3;103;76;216;5127;602;211;2,34;67,46;40,55;0;72;United Arab Emirates;Middle East;"Bentham Science Publishers B.V.";"2001-2023";"Drug Discovery (Q2); Pharmacology (Q2); Cancer Research (Q3); Oncology (Q3)";"Biochemistry, Genetics and Molecular Biology; Medicine; Pharmacology, Toxicology and Pharmaceutics"
2882;21871;"Current Opinion in Anaesthesiology";journal;"14736500, 09527907";0,650;Q2;84;109;368;4664;938;340;2,29;42,79;38,00;0;29;United States;Northern America;"Lippincott Williams and Wilkins Ltd.";"1994-2023";"Anesthesiology and Pain Medicine (Q2)";"Medicine"
2883;21244;"International Archives of Allergy and Immunology";journal;"14230097, 10182438";0,650;Q2;112;130;384;4859;1058;369;2,60;37,38;45,40;0;55;Switzerland;Western Europe;"S. Karger AG";"1950-2023";"Medicine (miscellaneous) (Q2); Immunology (Q3); Immunology and Allergy (Q3)";"Immunology and Microbiology; Medicine"
2884;17600154902;"Japanese Journal of Radiology";journal;"1867108X, 18671071";0,650;Q2;50;157;416;5461;1048;375;2,65;34,78;25,48;1;55;Japan;Asiatic Region;"Springer Japan";"2009-2023";"Radiology, Nuclear Medicine and Imaging (Q2)";"Medicine"
2885;3700148010;"Policy, Politics, and Nursing Practice";journal;"15271544, 15527468";0,650;Q2;35;28;87;1083;163;71;2,05;38,68;71,28;0;14;United States;Northern America;"SAGE Publications Inc.";"2000-2023";"Issues, Ethics and Legal Aspects (Q1); Leadership and Management (Q2); Medicine (miscellaneous) (Q2)";"Medicine; Nursing"
2886;21100899013;"Sleep Medicine: X";journal;"25901427";0,650;Q2;10;35;42;1251;108;38;2,38;35,74;56,44;0;12;Netherlands;Western Europe;"Elsevier B.V.";"2019-2023";"Medicine (miscellaneous) (Q2)";"Medicine"
2887;30079;"American Journal of Perinatology";journal;"10988785, 07351631";0,649;Q2;84;304;1296;9292;2240;1283;1,44;30,57;62,34;2;161;United States;Northern America;"Thieme Medical Publishers, Inc.";"1983-2023";"Obstetrics and Gynecology (Q2); Pediatrics, Perinatology and Child Health (Q2)";"Medicine"
2888;27601;"Journal of Maternal-Fetal and Neonatal Medicine";journal;"14767058, 14764954";0,649;Q2;98;340;2777;11372;5011;2655;1,69;33,45;55,65;2;182;United Kingdom;Western Europe;"Informa Healthcare";"1992-2023";"Obstetrics and Gynecology (Q2); Pediatrics, Perinatology and Child Health (Q2)";"Medicine"
2889;21100881469;"Laryngoscope investigative otolaryngology";journal;"23788038";0,649;Q2;35;208;624;6609;1283;610;1,68;31,77;37,64;0;72;United States;Northern America;"Wiley-Blackwell";"2016-2023";"Otorhinolaryngology (Q2); Surgery (Q2)";"Medicine"
2890;14154;"Molecular Biology Reports";journal;"03014851, 15734978";0,649;Q2;90;945;2787;47978;8381;2781;2,89;50,77;46,37;2;496;Netherlands;Western Europe;"Springer Science and Business Media B.V.";"1973-1988, 1990-2023";"Medicine (miscellaneous) (Q2); Genetics (Q3); Molecular Biology (Q3)";"Biochemistry, Genetics and Molecular Biology; Medicine"
2891;19315;"Rivista di Psichiatria";journal;"00356484, 20382502";0,649;Q2;27;38;151;1619;348;149;1,20;42,61;48,37;0;9;Italy;Western Europe;"Il Pensiero Scientifico Editore s.r.l.";"1975-1982, 1988-2023";"Psychiatry and Mental Health (Q2)";"Medicine"
2892;13603;"American Journal of Otolaryngology - Head and Neck Medicine and Surgery";journal;"1532818X, 01960709";0,648;Q2;70;295;1130;7160;2282;1011;1,89;24,27;34,12;2;114;United States;Northern America;"W.B. Saunders";"1979-2024";"Otorhinolaryngology (Q2)";"Medicine"
2893;21100780830;"Canadian Journal of Kidney Health and Disease";journal;"20543581";0,648;Q2;32;96;283;3511;453;273;1,50;36,57;47,29;0;69;United Kingdom;Western Europe;"SAGE Publications Ltd";"2014-2023";"Nephrology (Q2)";"Medicine"
2894;27124;"Journal of the American Psychiatric Nurses Association";journal;"15325725, 10783903";0,648;Q2;39;85;205;3161;385;165;1,36;37,19;73,56;1;24;United States;Northern America;"SAGE Publications Inc.";"1995-2023";"Psychiatry and Mental Health (Q2)";"Medicine"
2895;4000151902;"Journal of the Canadian Academy of Child and Adolescent Psychiatry";journal;"17198429";0,648;Q2;44;28;104;894;152;65;1,51;31,93;71,43;0;4;Canada;Northern America;"Canadian Academy of Child and Adolescent Psychiatry";"2006-2023";"Pediatrics, Perinatology and Child Health (Q2); Psychiatry and Mental Health (Q2)";"Medicine"
2896;25336;"Neurodegenerative Diseases";journal;"16602862, 16602854";0,648;Q2;67;15;68;919;189;68;1,93;61,27;49,45;0;2;Switzerland;Western Europe;"S. Karger AG";"2004-2023";"Neurology (clinical) (Q2); Neurology (Q3)";"Medicine; Neuroscience"
2897;24001;"Pathophysiology";journal;"09284680, 1873149X";0,648;Q2;58;46;91;3015;249;89;2,80;65,54;45,35;0;20;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"1994-2023";"Pathology and Forensic Medicine (Q2); Physiology (medical) (Q3)";"Medicine"
2898;29368;"Public Health Nursing";journal;"07371209, 15251446";0,648;Q2;61;118;412;3939;884;393;1,94;33,38;74,85;0;72;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1945-1952, 1984-2023";"Nursing (miscellaneous) (Q1); Public Health, Environmental and Occupational Health (Q2)";"Medicine; Nursing"
2899;29249;"Journal of Agromedicine";journal;"1059924X, 15450813";0,647;Q2;40;93;154;3468;376;130;2,23;37,29;61,84;0;53;United States;Northern America;"Taylor and Francis Ltd.";"1994-2023";"Public Health, Environmental and Occupational Health (Q2)";"Medicine"
2900;19700183009;"Journal of Ophthalmic and Vision Research";journal;"2008322X, 20082010";0,647;Q2;40;59;249;1631;423;202;1,64;27,64;33,04;0;9;Iran;Middle East;"Knowledge E";"2006-2023";"Ophthalmology (Q2)";"Medicine"
2901;17264;"Magnetic Resonance Imaging";journal;"18735894, 0730725X";0,647;Q2;122;173;564;6582;1456;555;2,34;38,05;30,80;0;39;United States;Northern America;"Elsevier Inc.";"1982, 1984-2023";"Biomedical Engineering (Q2); Biophysics (Q2); Radiology, Nuclear Medicine and Imaging (Q2)";"Biochemistry, Genetics and Molecular Biology; Engineering; Medicine"
2902;40970;"Magnetic Resonance Materials in Physics, Biology, and Medicine";journal;"13528661, 09685243";0,647;Q2;67;85;239;4122;559;224;2,24;48,49;28,15;0;9;Germany;Western Europe;"Springer Verlag";"1984, 1993-2023";"Biophysics (Q2); Radiological and Ultrasound Technology (Q2); Radiology, Nuclear Medicine and Imaging (Q2)";"Biochemistry, Genetics and Molecular Biology; Health Professions; Medicine"
2903;19700175819;"Patient Preference and Adherence";journal;"1177889X";0,647;Q2;67;301;777;12103;1891;764;2,18;40,21;52,17;0;143;New Zealand;Pacific Region;"Dove Medical Press Ltd.";"2007-2023";"Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q1); Social Sciences (miscellaneous) (Q1); Health Policy (Q2); Medicine (miscellaneous) (Q2)";"Medicine; Pharmacology, Toxicology and Pharmaceutics; Social Sciences"
2904;4100151702;"Vascular Health and Risk Management";journal;"11766344";0,647;Q2;82;86;224;3733;606;219;2,70;43,41;39,10;0;56;New Zealand;Pacific Region;"Dove Medical Press Ltd.";"2005-2023";"Cardiology and Cardiovascular Medicine (Q2); Endocrinology, Diabetes and Metabolism (Q2); Hematology (Q2); Medicine (miscellaneous) (Q2); Pharmacology (medical) (Q2); Public Health, Environmental and Occupational Health (Q2)";"Medicine"
2905;12602;"American Journal of Human Biology";journal;"10420533, 15206300";0,646;Q2;93;168;433;8729;1131;402;2,14;51,96;54,84;1;69;United States;Northern America;"Wiley-Liss Inc.";"1989-2023";"Anthropology (Q1); Anatomy (Q2); Ecology, Evolution, Behavior and Systematics (Q2); Genetics (Q3)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Medicine; Social Sciences"
2906;21100241807;"Artificial Cells, Nanomedicine and Biotechnology";journal;"2169141X, 21691401";0,646;Q2;86;53;270;3059;1067;257;3,83;57,72;44,82;0;26;United States;Northern America;"Informa Healthcare";"2013-2023";"Biomedical Engineering (Q2); Biotechnology (Q2); Medicine (miscellaneous) (Q2); Pharmaceutical Science (Q2)";"Biochemistry, Genetics and Molecular Biology; Engineering; Medicine; Pharmacology, Toxicology and Pharmaceutics"
2907;21100864540;"Bioscience of Microbiota, Food and Health";journal;"21866953, 21863342";0,646;Q2;27;32;84;1426;388;84;2,17;44,56;25,30;0;10;Japan;Asiatic Region;"BMFH Press";"2014-2023";"Applied Microbiology and Biotechnology (Q2); Food Science (Q2); Gastroenterology (Q2); Immunology (Q3); Microbiology (Q3)";"Agricultural and Biological Sciences; Immunology and Microbiology; Medicine"
2908;22487;"BMC Cardiovascular Disorders";journal;"14712261";0,646;Q2;71;609;1679;20856;3840;1678;2,15;34,25;38,64;0;323;United Kingdom;Western Europe;"BioMed Central Ltd";"2001-2023";"Cardiology and Cardiovascular Medicine (Q2)";"Medicine"
2909;16598;"Cardiovascular Ultrasound";journal;"14767120";0,646;Q2;56;21;112;618;247;112;2,09;29,43;38,16;0;6;United Kingdom;Western Europe;"BioMed Central Ltd";"2003-2023";"Cardiology and Cardiovascular Medicine (Q2); Medicine (miscellaneous) (Q2); Radiology, Nuclear Medicine and Imaging (Q2)";"Medicine"
2910;21100904986;"CJC Open";journal;"2589790X";0,646;Q2;17;136;520;3247;871;506;1,70;23,88;30,41;0;51;United States;Northern America;"Elsevier Inc.";"2019-2023";"Cardiology and Cardiovascular Medicine (Q2)";"Medicine"
2911;130130;"Clinical Otolaryngology";journal;"17494478, 17494486";0,646;Q2;81;123;481;2919;790;331;1,53;23,73;35,23;1;38;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"2005-2023";"Medicine (miscellaneous) (Q2); Otorhinolaryngology (Q2)";"Medicine"
2912;25075;"Ecotoxicology";journal;"09639292, 15733017";0,646;Q2;107;106;481;6906;1368;475;2,76;65,15;45,22;0;53;Netherlands;Western Europe;"Springer Netherlands";"1992-2023";"Health, Toxicology and Mutagenesis (Q2); Management, Monitoring, Policy and Law (Q2); Medicine (miscellaneous) (Q2); Toxicology (Q2)";"Environmental Science; Medicine; Pharmacology, Toxicology and Pharmaceutics"
2913;21101152881;"Frontiers in Pain Research";journal;"2673561X";0,646;Q2;13;201;362;12062;840;324;2,32;60,01;53,20;0;39;Switzerland;Western Europe;"Frontiers Media SA";"2020-2023";"Health Professions (miscellaneous) (Q1); Anesthesiology and Pain Medicine (Q2); Public Health, Environmental and Occupational Health (Q2); Neuroscience (miscellaneous) (Q3)";"Health Professions; Medicine; Neuroscience"
2914;19500157820;"GMS German Medical Science";journal;"16123174";0,646;Q2;31;14;38;408;102;38;1,30;29,14;33,93;0;5;Germany;Western Europe;"German Medical Science";"2009-2023";"Medicine (miscellaneous) (Q2)";"Medicine"
2915;13377;"Health Services and Outcomes Research Methodology";journal;"13873741, 15729400";0,646;Q2;33;38;71;1498;140;69;2,09;39,42;39,57;0;17;Netherlands;Western Europe;"Springer Netherlands";"2000-2004, 2006-2023";"Health Policy (Q2); Public Health, Environmental and Occupational Health (Q2)";"Medicine"
2916;29928;"Journal of Cancer Education";journal;"15430154, 08858195";0,646;Q2;52;263;605;6147;1176;575;1,68;23,37;66,03;1;223;United States;Northern America;"Springer Publishing Company";"1986-2023";"Public Health, Environmental and Occupational Health (Q2); Oncology (Q3)";"Medicine"
2917;26663;"Korean Journal of Internal Medicine";journal;"12263303, 20056648";0,646;Q2;56;118;529;3620;1029;433;1,81;30,68;36,36;0;65;South Korea;Asiatic Region;"Korean Association of Internal Medicine";"1961-1963, 1986-2023";"Internal Medicine (Q2)";"Medicine"
2918;21100933297;"Liver Research";journal;"25425684, 20962878";0,646;Q2;27;43;97;3558;240;90;1,72;82,74;41,85;0;26;China;Asiatic Region;"KeAi Communications Co.";"2017-2023";"Gastroenterology (Q2); Hepatology (Q3)";"Medicine"
2919;19400157007;"Microbes and Environments";journal;"13426311, 13474405";0,646;Q2;65;40;153;1887;390;153;2,14;47,18;25,63;0;9;Japan;Asiatic Region;"Japanese Society of Microbial Ecology";"1996-2023";"Ecology, Evolution, Behavior and Systematics (Q2); Medicine (miscellaneous) (Q2); Plant Science (Q2); Soil Science (Q2)";"Agricultural and Biological Sciences; Medicine"
2920;17539;"Academic Psychiatry";journal;"15457230, 10429670";0,645;Q2;56;214;530;2529;622;241;1,13;11,82;59,12;1;30;Switzerland;Western Europe;"Springer International Publishing AG";"1989-2023";"Education (Q2); Medicine (miscellaneous) (Q2); Psychiatry and Mental Health (Q2)";"Medicine; Social Sciences"
2921;14340;"Brain Injury";journal;"1362301X, 02699052";0,645;Q2;119;116;548;5185;1099;538;1,55;44,70;55,44;1;26;United Kingdom;Western Europe;"Informa Healthcare";"1987-2023";"Developmental and Educational Psychology (Q2); Neurology (clinical) (Q2); Neuroscience (miscellaneous) (Q3)";"Medicine; Neuroscience; Psychology"
2922;21339;"Health, Risk and Society";journal;"13698575, 14698331";0,645;Q2;58;21;66;1189;160;62;2,25;56,62;55,17;0;13;United Kingdom;Western Europe;"Routledge";"1999-2023";"Public Health, Environmental and Occupational Health (Q2)";"Medicine"
2923;19900192607;"International journal of medical education";journal;"20426372";0,645;Q2;37;29;127;0;329;98;1,27;0,00;57,45;0;8;United Kingdom;Western Europe;"International Journal of Medical Education";"2011-2023";"Medicine (miscellaneous) (Q2)";"Medicine"
2924;24296;"Clinics in Dermatology";journal;"18791131, 0738081X";0,644;Q2;106;119;385;4289;843;347;2,11;36,04;58,06;0;29;United States;Northern America;"Elsevier Inc.";"1983-2023";"Dermatology (Q2)";"Medicine"
2925;19700201639;"International Journal of Rheumatology";journal;"16879260, 16879279";0,644;Q3;40;4;29;217;66;29;2,15;54,25;53,33;0;1;United States;Northern America;"Hindawi Publishing Corporation";"2010-2022";"Immunology (Q3); Rheumatology (Q3)";"Immunology and Microbiology; Medicine"
2926;21101047081;"Modern trends in psychiatry";journal;"2504124X, 25040464";0,644;Q2;21;0;12;0;21;11;1,75;0,00;0,00;0;0;Switzerland;Western Europe;"S. Karger AG";"2021";"Psychiatry and Mental Health (Q2); Biological Psychiatry (Q3)";"Medicine; Neuroscience"
2927;19700176021;"Oncology Letters";journal;"17921082, 17921074";0,644;Q3;81;510;2474;21927;6235;2473;2,41;42,99;36,64;0;471;Greece;Western Europe;"Spandidos Publications";"2010-2023";"Cancer Research (Q3); Oncology (Q3)";"Biochemistry, Genetics and Molecular Biology; Medicine"
2928;28566;"American Journal of Occupational Therapy";journal;"02729490";0,643;Q2;96;183;489;6481;1087;437;1,30;35,42;72,99;1;59;United States;Northern America;"American Occupational Therapy Association, Inc";"1947-2023";"Occupational Therapy (Q1); Medicine (miscellaneous) (Q2)";"Health Professions; Medicine"
2929;21482;"Environmental Monitoring and Assessment";journal;"01676369, 15732959";0,643;Q2;142;1544;2561;100852;8725;2552;3,07;65,32;34,12;4;1182;Germany;Western Europe;"Springer Science and Business Media Deutschland GmbH";"1981-2023";"Environmental Science (miscellaneous) (Q2); Management, Monitoring, Policy and Law (Q2); Medicine (miscellaneous) (Q2); Pollution (Q2)";"Environmental Science; Medicine"
2930;19600166304;"Journal of Community Genetics";journal;"1868310X, 18686001";0,643;Q2;36;69;189;2886;370;177;1,84;41,83;70,83;1;31;Germany;Western Europe;"Springer Verlag";"2010-2023";"Public Health, Environmental and Occupational Health (Q2); Epidemiology (Q3); Genetics (clinical) (Q3)";"Medicine"
2931;27769;"Journal of Forensic Sciences";journal;"00221198";0,643;Q2;112;229;858;8011;1780;762;1,91;34,98;45,68;0;59;United States;Northern America;"Wiley-Blackwell";"1961, 1963-2023";"Pathology and Forensic Medicine (Q2); Genetics (Q3)";"Biochemistry, Genetics and Molecular Biology; Medicine"
2932;19700201673;"Osong Public Health and Research Perspectives";journal;"22109099, 22336052";0,643;Q2;37;57;158;1806;435;142;2,03;31,68;52,42;0;41;South Korea;Asiatic Region;"Korea Centers for Disease Control and Prevention";"2010-2023";"Infectious Diseases (Q2); Public Health, Environmental and Occupational Health (Q2)";"Medicine"
2933;19850;"Current Opinion in Urology";journal;"09630643, 14736586";0,642;Q2;65;80;334;3105;727;303;1,98;38,81;24,77;0;44;United States;Northern America;"Lippincott Williams and Wilkins Ltd.";"1993-2023";"Urology (Q2)";"Medicine"
2934;13152;"Surgical Oncology Clinics of North America";journal;"10553207, 15585042";0,642;Q2;68;63;180;3497;338;144;2,09;55,51;50,68;0;40;United States;Northern America;"W.B. Saunders";"1995-2023";"Surgery (Q2); Oncology (Q3)";"Medicine"
2935;17928;"Ultrasonic Imaging";journal;"01617346, 10960910";0,642;Q2;52;19;59;660;193;59;3,15;34,74;38,67;0;8;United States;Northern America;"SAGE Publications Inc.";"1979-2023";"Radiological and Ultrasound Technology (Q2); Radiology, Nuclear Medicine and Imaging (Q2)";"Health Professions; Medicine"
2936;21100256962;"Wound Medicine";journal;"22139095";0,642;Q2;22;0;22;0;79;22;0,00;0,00;0,00;0;0;Germany;Western Europe;"Elsevier B.V.";"2013-2020";"Surgery (Q2)";"Medicine"
2937;20020;"Nephrology";journal;"14401797, 13205358";0,641;Q2;75;96;416;3106;816;329;2,00;32,35;38,02;1;51;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1995-1998, 2000-2023";"Medicine (miscellaneous) (Q2); Nephrology (Q2)";"Medicine"
2938;22520;"Netherlands Heart Journal";journal;"18766250, 15685888";0,641;Q2;47;97;351;1495;417;236;1,13;15,41;30,77;1;25;Netherlands;Western Europe;"Bohn Stafleu van Loghum";"2005-2023";"Cardiology and Cardiovascular Medicine (Q2)";"Medicine"
2939;17980;"Neuropathology";journal;"09196544, 14401789";0,641;Q2;69;84;205;2307;407;194;1,55;27,46;32,61;0;25;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1993-2023";"Medicine (miscellaneous) (Q2); Neurology (clinical) (Q2); Pathology and Forensic Medicine (Q2)";"Medicine"
2940;15419;"Bioprocess and Biosystems Engineering";journal;"16157605, 16157591";0,640;Q2;83;142;655;8331;2620;654;3,74;58,67;39,58;0;66;Germany;Western Europe;"Springer Science and Business Media Deutschland GmbH";"1996-2023";"Bioengineering (Q2); Biotechnology (Q2); Medicine (miscellaneous) (Q2)";"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Medicine"
2941;21100381004;"CNS oncology";journal;"20450915, 20450907";0,640;Q3;32;13;40;343;108;38;3,04;26,38;34,52;0;9;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2012-2023";"Neurology (Q3); Neurology (clinical) (Q3)";"Medicine; Neuroscience"
2942;23138;"Current Opinion in Cardiology";journal;"02684705, 15317080";0,640;Q2;85;83;289;3806;576;269;1,98;45,86;34,33;0;51;United States;Northern America;"Lippincott Williams and Wilkins Ltd.";"1988-2023";"Cardiology and Cardiovascular Medicine (Q2)";"Medicine"
2943;27519;"International Journal of Gynecological Pathology";journal;"15387151, 02771691";0,640;Q2;87;90;302;2296;507;288;1,52;25,51;51,43;0;61;United States;Northern America;"Lippincott Williams and Wilkins Ltd.";"1982-2023";"Obstetrics and Gynecology (Q2); Pathology and Forensic Medicine (Q2)";"Medicine"
2944;21100829270;"Journal of Medical Imaging";journal;"23294310, 23294302";0,640;Q2;49;154;322;5971;788;312;2,28;38,77;32,40;0;56;United States;Northern America;"SPIE";"2014-2023";"Radiology, Nuclear Medicine and Imaging (Q2)";"Medicine"
2945;13180;"Journal of Renal Nutrition";journal;"15328503, 10512276";0,640;Q2;68;133;281;5295;698;239;2,58;39,81;49,32;1;87;United States;Northern America;"W.B. Saunders";"1991-2023";"Medicine (miscellaneous) (Q2); Nephrology (Q2); Nutrition and Dietetics (Q2)";"Medicine; Nursing"
2946;21930;"Fish Physiology and Biochemistry";journal;"09201742, 15735168";0,639;Q2;93;114;452;7189;1353;452;2,72;63,06;39,83;0;51;Netherlands;Western Europe;"Springer Netherlands";"1986-2023";"Aquatic Science (Q1); Biochemistry (Q2); Medicine (miscellaneous) (Q2); Physiology (Q3)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Medicine"
2947;19762;"International Microbiology";journal;"16181905, 11396709";0,639;Q2;74;173;187;9119;615;180;2,90;52,71;44,53;0;53;Spain;Western Europe;"Sociedad Espanola de Microbiologia";"1998-2023";"Microbiology (medical) (Q2); Microbiology (Q3)";"Immunology and Microbiology; Medicine"
2948;21100894516;"Journal of Biomedical Informatics: X";journal;"2590177X";0,639;Q3;10;0;7;0;27;7;0,00;0,00;0,00;0;0;United States;Northern America;"Academic Press Inc.";"2019-2020";"Computer Science Applications (Q2); Health Informatics (Q3)";"Computer Science; Medicine"
2949;21100791701;"Journal of Pathology Informatics";journal;"22295089, 21533539";0,639;Q2;28;70;147;2816;397;140;2,66;40,23;30,63;0;43;India;Asiatic Region;"Elsevier B.V.";"2012, 2016-2023";"Computer Science Applications (Q2); Pathology and Forensic Medicine (Q2); Health Informatics (Q3)";"Computer Science; Medicine"
2950;24562;"Mathematical Biosciences";journal;"00255564, 18793134";0,639;Q2;109;79;195;4176;633;192;2,20;52,86;35,43;1;38;United States;Northern America;"Elsevier Inc.";"1967-2023";"Agricultural and Biological Sciences (miscellaneous) (Q1); Applied Mathematics (Q2); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2); Immunology and Microbiology (miscellaneous)  (Q2); Medicine (miscellaneous) (Q2); Modeling and Simulation (Q2); Statistics and Probability (Q2)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Mathematics; Medicine"
2951;12053;"Archives of Suicide Research";journal;"15436136, 13811118";0,638;Q2;62;145;265;6678;991;265;3,61;46,06;51,88;3;130;United Kingdom;Western Europe;"Routledge";"1995-1999, 2002-2023";"Clinical Psychology (Q2); Psychiatry and Mental Health (Q2)";"Medicine; Psychology"
2952;21101163299;"Global Advances in Integrative Medicine and Health";journal;"27536130";0,638;Q2;28;30;163;1205;354;156;2,18;40,17;61,58;0;8;United States;Northern America;"SAGE Publications Inc.";"2023";"Medicine (miscellaneous) (Q2)";"Medicine"
2953;13744;"JARO - Journal of the Association for Research in Otolaryngology";journal;"14387573, 15253961";0,638;Q2;85;47;135;2706;314;133;2,46;57,57;36,49;0;1;United States;Northern America;"Springer New York";"2000-2023";"Otorhinolaryngology (Q2); Sensory Systems (Q3)";"Medicine; Neuroscience"
2954;19781;"Scandinavian Journal of Rheumatology";journal;"15027732, 03009742";0,638;Q2;85;108;277;2836;399;191;1,43;26,26;47,14;1;19;United Kingdom;Western Europe;"Informa Healthcare";"1959-1962, 1964, 1972-2023";"Medicine (miscellaneous) (Q2); Immunology (Q3); Immunology and Allergy (Q3); Rheumatology (Q3)";"Immunology and Microbiology; Medicine"
2955;21100314711;"Translational Andrology and Urology";journal;"22234691, 22234683";0,638;Q2;49;186;1021;6266;2055;930;1,96;33,69;26,73;0;109;Hong Kong;Asiatic Region;"AME Publishing Company";"2012-2023";"Reproductive Medicine (Q2); Urology (Q2)";"Medicine"
2956;20802;"Vector-Borne and Zoonotic Diseases";journal;"15303667, 15577759";0,638;Q2;87;84;340;3065;688;336;1,95;36,49;46,07;0;24;United States;Northern America;"Mary Ann Liebert Inc.";"2001-2023";"Infectious Diseases (Q2); Microbiology (Q3); Virology (Q3)";"Immunology and Microbiology; Medicine"
2957;21101043236;"World Journal of Clinical Pediatrics";journal;"22192808";0,638;Q2;9;29;66;1808;213;66;3,37;62,34;41,57;0;15;United States;Northern America;"Baishideng Publishing Group";"2019-2023";"Pediatrics, Perinatology and Child Health (Q2)";"Medicine"
2958;12737;"Aging, Neuropsychology, and Cognition";journal;"17444128, 13825585";0,637;Q2;67;70;173;4520;343;172;1,74;64,57;61,46;0;4;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1994-2023";"Experimental and Cognitive Psychology (Q2); Neuropsychology and Physiological Psychology (Q2); Psychiatry and Mental Health (Q2); Geriatrics and Gerontology (Q3)";"Medicine; Psychology"
2959;21101028582;"JMIR Formative Research";journal;"2561326X";0,637;Q2;25;731;1444;32960;3241;1442;2,14;45,09;54,43;2;384;Canada;Northern America;"JMIR Publications Inc.";"2017-2023";"Medicine (miscellaneous) (Q2); Health Informatics (Q3)";"Medicine"
2960;24866;"Journal of Drugs in Dermatology";journal;"15459616";0,637;Q2;73;258;703;3958;951;645;1,28;15,34;52,11;0;52;United States;Northern America;"Journal of Drugs in Dermatology";"2002-2023";"Dermatology (Q2); Medicine (miscellaneous) (Q2)";"Medicine"
2961;21100239606;"Therapeutic Innovation and Regulatory Science";journal;"21684790, 21684804";0,637;Q2;51;129;419;3922;814;374;2,24;30,40;50,36;3;26;United States;Northern America;"SAGE Publications Inc.";"1970, 1972, 1974-2006, 2008-2011, 2013-2023";"Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q1); Pharmacology (medical) (Q2); Public Health, Environmental and Occupational Health (Q2)";"Medicine; Pharmacology, Toxicology and Pharmaceutics"
2962;21101077112;"Cardiovascular Digital Health Journal";journal;"26666936";0,636;Q2;11;25;119;648;267;100;2,22;25,92;27,84;0;8;United States;Northern America;"Elsevier Inc.";"2020-2023";"Biomedical Engineering (Q2); Cardiology and Cardiovascular Medicine (Q2); Critical Care and Intensive Care Medicine (Q2)";"Engineering; Medicine"
